Class Index,Class Name,Question Title,Question Content
3,Science & Mathematics,"With only angle measurements, how do you find which side is longer in a triangle? How about vise-versa?","Be as specific as possible plz.\n5 points=Very specific, answers both questions, and gave an example.\n4 points=Very specific, answers both questions.\n3 points=specific, answers both questions.\n2 points=answers both questions.\n1 points=did nothing and gave a useless answer"
1,Sports,who won the first ever WORLD CUP?,what year and where it was held and the other finalist
0,Health,"64oz a day of water is good, but how does one count other drinks?","It's generally said that it's healthy to drink eight 8oz glasses of water a day. However, how does one count other drinks? Is a glass of milk half water? How about juice, that seems to be mostly water?"
0,Health,am i mentally ill?,i am depressed and have trouble sleeping
2,Entertainment & Music,Is Tin Pan Alley in New York City still in existence?,"I know that ASCAP is still around, but I'd like to know if the music publishing houses as they were in past years still exist."
2,Entertainment & Music,create another word from dirty room that also means dirty room?,forming another word from dirty room that will still mean dirty room
2,Entertainment & Music,"I played ""I can't get no satisfaction"" 40,000 times for their (STONES) 40th anniversary?",Has anyone ever played a single song more times than me?
2,Entertainment & Music,How many songs did Jay-Z copy?,Plz name songs.
1,Sports,what is best way to put a hard clear coating on a sktbrd to protect inkjet photo artwork?,"I want to put photos of the Smackdown Undertaker on the board but I am concerned that the art will get quicklly wiped out by doing grinds and other tricks.  Please, nobody answer ""Don't do grinds"""
2,Entertainment & Music,I'm so sick of mainstream music. Any ideas?,"Can anybody give me suggestions on good singers/bands that actually have some TALENT? I'm just so sick of the trash they have on the radio these days! To give you an idea of my tastes: I like Classical, Comedy, Pop, Rock, Oldies, Techno, Soundtracks, and J-pop. PLEASE no Rap or Country. Thanks!"
1,Sports,How are the Chargers eliminated from the playoffs when they have the exact same conference and division record,"The Chargers beat KC earlier this year and lost today so they are tied heads-up. KC and SD are now tied at 9-6 with the SD loss today but both teams have the exact same record. If SD wins next week and KC loses they'd have the exact same division record, so why is SD already eliminated??"
3,Science & Mathematics,What is the best (accurate) way to measure the velocity of an air rifle pellet?,Since the speed of a air rifle pellet approaches the speed of sound this looks like a daunting task. Any suggestions on how I can accurately measure the speed of a pellet fired from an air rifle? Certainly a stop watch will not work as the speed of sound will be a cause of error.\nYour help/suggestions are most appreciated.
2,Entertainment & Music,What is your Favorite Ray Charles song?,What is your Favorite Ray Charles song?
0,Health,"I have been suffering from numbness and stiffness in both thumbs,index,and middle fingers?",26yrs.old Hispanic Female 5'1 150lbs. Is this a serious sign to seek tests or treatment?
3,Science & Mathematics,Does the full moon really cause kids to go crazy and hype out?,I've heard this a few times now...is it really true and is there an explanation?
3,Science & Mathematics,How much string?,"There is a string going all the way around the equator of the earth, taut and resting on the surface. How much more string do you need to make it 1 inch above the surface of the earth all the way around? Assume the earth is perfectly spherical and ignore geographic features (oceans, mountains, etc.)."
1,Sports,How can I contact Jerome Bettis by mail?,No spam please.
0,Health,I want to open a wholesale nail supply store?,I need to find out where I can buy supplies or find a dstributor to open a wholesale nail supply store.
1,Sports,"Is the plural of timeout ""timeouts"" or ""times out""? (As in a football timeout)?",We're dying to know.  Please provide a source if you can.
1,Sports,"if you get called for a 3 second violation on the NBA, does it count as a turnover against you?","i'm pretty sure an offensive foul counts as a turnover for stats & essentially fantasy points purposes, but when i saw someone get called for 3 seconds, i was wondering if that counts against your turnover category."
0,Health,How much tuna can you eat safely without too much mercury?,I checked on line and keep getting different information.
0,Health,why do certain parts of the body suddenly twitch..?,"my eye seems to be twitching for no reason, whats goin on? should I be worried?"
3,Science & Mathematics,what is the difference a p-n-p & n-p-n semiconductor?,give answers with full details .
2,Entertainment & Music,Do you know what Miss Brainy's question was?,"JJ is the laziest and weakest student in his class. He never answers his teacher's questions correctly. One day he came home from school and excitedly announced to his father, ""Dad, guess what? A miracle happened today at school! Miss Brainy, our science teacher asked us a question, and I'm the only one who could answer that question!"" \n\nDo you know what Miss Brainy's question was?"
2,Entertainment & Music,What did you think of the movie Into the Blue?,Movie Review!
0,Health,How to Exercise without Losing Breast Fat?,Is there anyway you can workout and tone your body without losing your breasts?
1,Sports,"What television network if any, will carry Sunday Night Football next season?",Jan. 1. 2006 was the last broadcast of Sunday Night Football on ESPN.
0,Health,does anyone suffer from ostioprosis or Lupus?,has anyone tried alternative medicine
0,Health,Why does yawning seem to be contagious?,"It seems like other people yawn after I do, or vice versa. There must be a reason."
0,Health,my head hurts feels like it'a suffed with cotton and it aches. Is it the flu?,also feels like I have a fever on and off and if I cough it's really terrible
2,Entertainment & Music,who was the comic book character with the enormous head that looked like a brain?,"This guy was an evil comic book character.  Very mainstream.  he was old, serious.  Possibly wore a protective jar as a helmet."
2,Entertainment & Music,Piano solo?,Could anyone suggest piano music? Something like Jim Brickman...
0,Health,Do they not teach sex ed anymore?,I'm browsing through these questions and they are some of the most ridiculous ones I have ever heard regarding sex and pregnancy and disease.  So my question is to all those teens and preteens.  Are you being taught this stuff in school?  Or are you kids that young that you haven't received it yet?
0,Health,motivation?,"i swore ide start running as soon as i got my MP3 player, but three months later, still no.\ni do everything else durin the day so i cant run anytime but in the morning (5:30 to be exact)\nand if i did have time i still wouldnt run cuz i live in town and i hate ppl watching me, ways to get up and stay up?"
2,Entertainment & Music,Does anyone knows who sings Knocking boots?( i believe it's called like that)?,"but not the one from candyman, im not sure if it's keith sweat, or color me bad...please help!"
0,Health,What is good for a sinus infection?,"I have a sinus infection, rivers running down the back of my throat, swollen eyes, etc. How can I treat this without having to see the Doctor?"
2,Entertainment & Music,Peter Jackson...The Hobbit?,"King Kong or Lord of the Rings?\n  Tough one, but imma go with LOTR.\n\nIs it true ""The Hobbit"" the movie, directed by Peter Jackson is coming out this year, in December 06.? I actually saw a trailer, but I donno if it's a prank. Is this just a rumor?"
2,Entertainment & Music,answer this riddle?,"A RIDDLE THAT'LL  KILL YOUR BRAIN! \n\nThis is going to make you so MAD! There are three words in the English language that end in ""gry"". ONE is angry and the other is hungry. EveryONE knows what the third ONE means and what it stands for. EveryONE uses them everyday, and if you listened very carefully, I've given you the third word. What is it? _______gry? Send this to 5 People and the answer will pop up on the screen automatically."
2,Entertainment & Music,"hey everybody out there who want more point here some game, make a sentences starting with my last word  ----?","and the next one start with the previous person last word ,\n\n""i have nothing to say cos i am tired and bored"""
1,Sports,does rhytmic gymnastics make girls un virgin?,i used to play rhytmic gymnastics till 16 years i'm now 19 i just wanna know if it makes girls un virgin or not!! does any body know??
2,Entertainment & Music,Crossword clue-They are all on drugs. What's the answer?,6 letter answer 2nd letter is a e
0,Health,please help me i am so sick!?,my throat hurts really bad is vicks 44 a good medicine and what is something good to drink when all you have are sodas
3,Science & Mathematics,What is that science chart called?,"It is like a tree diagram and starts of with a question and a couple of options, then you get another question and set of options and it keeps going until you know the name of the object. I think it is used most in biology, to find out what animals are what and ditto with plants."
2,Entertainment & Music,where can i find a cd by Joan Jett/Blackhearts--I Love Rock n Roll?,"on this cd joan jett does a version of the christsmas song ""The Little Drummer Boy"" that is awesome."
0,Health,Any idea what could be causing me to fall asleep after I eat anything at all?,"Doesn't matter what I eat or how much. Almost always occurs and is hard to fight off. Started almost three years ago. Had glucose tolerance test. No problem. Stayed overnight in sleep clinic but was unable to fall asleep due to strange surroundings and, of course, there\nwas no food. Was prescribed stimulants but that didn't help. I can drink several cups of the strongest black coffee and go right to sleep. Stay up all night though."
0,Health,If somebody is sexually active should they tell their mom that they want to get on birth controll pills?,just asking
2,Entertainment & Music,Another Riddle?,What is the difference between a Grandmother and a granary?
1,Sports,"What do the NASCAR team added marking on the Goodyear Eagle tires mean? e.g. RR-4 - Right rear ?, etc.?","There is also a triangular marking on the side from the tread  inward (^ but solid), above it is an 18 or 81 or 00 with an underscore.  There is a factory stamped D6486 and the last 6 has silver outline. There is a RS20 on ths side. and in the inner rim area there is a .75 marking.. On the R in goodyear ther eis a silver ""1398"" marking. This tire reportedly came off Tony Stewart car and was used in the Talledaga 500 (2005).  Can anyone shed light on what these marking mean?  Thanks in advance"
0,Health,when mutiple women live in the same house for extend periods of time do their periods really start to sycnrani,when mutiple women live in the same house for extend periods of time do their periods really start to sycnranize?
1,Sports,"What's a good easy, longish ride in the bay area?","I am a fairly avid cyclist but my brother and his wife are very casual riders.  I'm looking for a nice, flat, longish ride that will hopefully have some nice scenery (preferably along the bay).  Peninsula preferred, but I'd love to hear any other suggestions as well."
0,Health,Do relationships really make you fat?,"Every relationship I've been in, I tend to put on weight and then lose it when I leave them. Has anyone noticed this in their own lives?"
1,Sports,NFL players who were Rhodes scholars?,Trying to 1 up a friend who has aspirations of Mensa for as yet unborn child.
3,Science & Mathematics,"what is the ""best"" crank theory? (Other than timecube.com!)?",There are just acres of crank science theories out there. Timecube.com wins as the craziest. But what comes in second?
3,Science & Mathematics,Naval Nuclear Physics?,"Im going into the Navy's Nuclear program and was wondering if anyone hear was or currently is in this program. If so, do you like it and where did you go to school and get based. Do you ever go to sea? Just any info would be good."
1,Sports,Where can I find/purchase full game tapes of past NFL games?,Is there somewhere I can download past NFL games online?
0,Health,is beauty important?,"im 23 female. i have problems putting on weight. i eat a lot. high metabolism perhaps. i used to have a bf but after 7 years, he left me..for someone prettier i guess.\n\ni think my appearance decrease my chances of attracting guys.\n\nsometimes i have low self esteem. how can i help my self?"
0,Health,What can one do for severe stomach pain?,"My brother has been suffering for a couple months now with severe stomach pain, gas, acid, and nausea, accompanied sometimes with sore throat and sinus problems.  He has been to more than one doctor, and they have done little to help him.  He is taking prevacid and taking fiber supplements because they said he had Irritable Bowel Syndrome.  He is losing weight rapidly.  He cannot eat.  Does anyone have a clue how he can be helped?"
0,Health,"When quitting smoking, what tool is best used to help: nicoderm cq or the gum etc.?","Im going to quit smoking but need help, my health depends on it. I cant do it cold turkey, been there and done that and it doesnt work for me, the cravings were too bad. Any suggestions are appreciated.\n\nThanks"
2,Entertainment & Music,any other songs like cibo matto's birthday cake?,i first heard this song playing an xbox game (jet set revolution). anything else have that same sound and feel? i am not too familiar with the japanese girl band genre.
1,Sports,Was basketball invented by a black person?,I'm just curious...
3,Science & Mathematics,Why do knuckles crack?,I have always assumed it was the sound of a tendon scrabing over a bone at a corner or something.
0,Health,Can a person be hypnotised into telling the truth?,Can a subject be hypnotised into answering any question truthfully if they're given a keyword command?
1,Sports,Why don't you all write here your favorite domestic or local soccer club?Write your country and city as well,"Mine is Aris Thessalonikis FC form Thessaloniki,Greece!"
0,Health,ineed free dental work any help?,i took presriptions that i didnt know ruined your teeth so all of my teeth need care and i have no money or insurance at this time
3,Science & Mathematics,pie question?,"with 1 straight cut u can slice a pie into 2 pieces. a second cut that crosses the 1st one will produce 4 pieces,and a 3rd cut can produce as many as 7 pieces.what is the largest number of pieces that you can get w/ 10 straight cuts?"
2,Entertainment & Music,what's the best music site?,unlimited streaming music and music database
0,Health,How many doctors are there in America?,"Looking for the total number of licensed MDs (and DOs, if possible) in the US. Thanks."
0,Health,can you get blood pressure meds from Canada through the mail?,"My medicine is called ""Altace"". I want to save $ on the cost of this prescription."
3,Science & Mathematics,How do I find the volume a cone whose upper portion(conical part) is chopped off ?,"think of a cone first. then you are cutting of the conical part of it. i.e cut a smaller cone out of the bigger one. Now, how do you find the volume of the left over part.any formula?\n\nDon't say that you will take a tumbler(somewhat resembles a cone whose conical part is cut and sealed from there.) and fill it with water and then find the volume of it."
0,Health,I get sick all the time and people says I need my Tonsils out but daddy keeps fighting about it. What do I do?,So Can you guys help me and give me advice?
0,Health,Can HIV virus be transmitted thru saliva? In any case?,It seems even professionals cannot answer this question... let's try the Yahoo people!
1,Sports,Which style of martial arts is best?,"If you were looking to start taking martial arts, what style (karate, aikido, etc.) would you study and why?"
0,Health,What can be done for someone who has had a stroke due to chemotherapy and is on a respirator?!?!?,"No fake answers, please!!!"
2,Entertainment & Music,what is your favorite tom cruise movie?,mine is... top gun
1,Sports,Nascar or Busch series ticket available for New Hampshire International Speedway?,Are there Nascar or Busch series ticket available for New Hampshire International Speedway for the 2006 season?
1,Sports,Bears defeat the Colts?,"If Manning gets flustered, he chokes. With a flawless Bear O, emphasis on flawless, and the dominant Bear D, the Colts go down, no question.  Agree?"
0,Health,Is there a non-prescription cure/treatment for depression?,I think im depressed but i dont want to ask a doctor about it
3,Science & Mathematics,Why are chromosomes called chromosomes?,"It seems like a stupid question, but doesnt ""chromo"" mean ""color""? How does this make sense?"
3,Science & Mathematics,Why do humans get annoyed?,Would this have had any evolutionary purpose?
1,Sports,"Which Cross Country Skis are better? Rossis, Fischer RCS, or Atomic beta?","Which is the best skate race ski? If you like a different brand, like Peltonen, or Germina, or madshus, or any other brand that I missed, and you think they have the best brand tell me. Also, Does europe really have skis that I don't have in U.S.? Like a super brand of skis?"
1,Sports,Do you think Martin Brodeur best dys are behind him.?,this is from a sad Devils fan
1,Sports,How do (really) short skis campare to regular skis in handling?,Some times called skate skis
1,Sports,What do you think about soccer?,Do you think that people should pay more attention to soccer?
2,Entertainment & Music,"What is the song of the 60's The Hand Song The rope broke, the monkey got chocked they all went to heaven in a","little row boat.  Other words in the song are, My mama told me that she would buy me a rubber dollie"
1,Sports,What is your dream Superbowl matchup?,Mine is Colts-Packers
0,Health,flying with a herniated disk?,My mom just found out that she might have a herniated disk and she has nonrefundable tickets to hawii for a wedding. Will it cause more problems for her if she flies with it
1,Sports,i hate how all the questions of everyones are who is the best player its about who is the best team?,when was the last time you saw a player win the championship never u need a team not even mj won a championship by his self. so who do u think is the best team in the NBA right now
1,Sports,Who is the first Fifa world champion?,Brazil 2000 football
2,Entertainment & Music,Whos' your favorite Wu Tang Clan member?,I liek RZA
2,Entertainment & Music,Can you name this Simpsons episode?,"I only saw it once.  It was the one where Homer somehow has a leftover party hero (sub, sandwich, grinder, whatever you want to call it).  Over the course of a week, he is eating the thing.  Over time, it starts looking old and nasty.  Marge throws it in the trash.  Homer rescues it.  He sleeps with it and caresses it.  He eats some more and gets sick.  What is the name of this episode?"
1,Sports,how long was the fsu - psu game in hours?,on 1/3/06 after all the overtime
1,Sports,whats the best kind of radio to have?,I am looking into getting a new radio for my truck and i want the best redio for it  \n\n       any help would be appreciated
3,Science & Mathematics,how is the plastic produce?,urgent
0,Health,"i've heard ""chicks dig scars"" but do guys dig scars on chicks?",i may get big air but i shred big 2! i got some gnarly ones.
1,Sports,Who was Army's Famous Mr. Inside and Mr. Outside?,Espn's History of Football
2,Entertainment & Music,trumpet and clarinet?,Does a trumpet and clarinet sound good together when played in duet?
3,Science & Mathematics,"I have had 6 gum surgeries (soft tissue grafts). In the recent ones, my palate...?","healed much faster than in the previous surgeries. What is the explanation for, with each surgery, why my palate can now heal itself faster than the previous surgery."
0,Health,What is President Bush's daily workout routine?,"Also - does anybody know when he takes a nap?\n(I know this is sort of a strange question)\n\nThanks,\n\nE"
1,Sports,what's a good diet to follow?,nothing too strict as I do alot of exercise as well !
3,Science & Mathematics,Why is there no frost on a windy night?,"In the winter, I often have to scrape my windshield in the morning.  However, if the night before was windy, I don't have a frost problem."
1,Sports,Why are pople afraid of paintball???,Are they chicken or sumthing
0,Health,When arteries lose their elasticity and can't change diameter what results? anemia stroke high BP heart murmur,this is on my Bio 2 study guide and I don't have my book so I was hoping that someone knew the answer
2,Entertainment & Music,Another good riddle?,"I'm so fast you can't see me,\nThough everyone sees straight through me,\nI don't stop until the day you die.\nWhat am I?"
3,Science & Mathematics,Why don't they use gene splicing to genetically modify humans before they are born?,Gene splicing works on plants. How will we compete with computers if we only improve computers and not ourselves?
2,Entertainment & Music,what is a classic records and how is it valued?,how are payments of use sent to the artist
0,Health,"Does the cokes like ""coca cola, pepsi, ...."" with zero calorie label make you fat ?","Specially I want to know do they cause your stomach grow bigger , like beer or not ?"
0,Health,Which weight loss drugs work best?,I've tried Hyroxycut and it seems to work for about 2 weeks and then doesn't work anymore....can anyone recommend another diet pill that works??
1,Sports,Where is a good place to get skis and boots this time of year?,I'm looking to buy skis and boots at a good price this month (january). Where can I get a good deal?
2,Entertainment & Music,Favorite Seinfeld Episode?,"And, while you're at it... favorite Sienfeld character?"
