Category,label,Description
Clothing & Accessories,1,Tinted Men's Cotton Sinker Hooded Waterfall Full Sleeve Cardigan Tinted takes cares of all off you no matter to which genre they belong. For those who love to include in their wardrobes nothing but the best possible trends which represent their style statements Tinted showcases in its collection hooded and front open long-line cardigans made of cotton blend which can get along with almost all your casual wears really well. They not only complement each of your apparels but also alleviate their over-all look to a whole different level.
Electronics,2,AmazonBasics USB 3.1 Type-C to Ethernet Adapter - Black
Books,0,Fundamentals of Computer Security 
Clothing & Accessories,1,"FOOTPRINTS Cotton Socks for Baby (Multicolour, 3-5 Years) - Pack of 5 Footprints socks are made from pure organic cotton and eco-friendly fibers and colours. Perfect for 3-5 years, they are rid from harmful chemicals and coloured dyes which may cause harm to the super sensitive skin of your baby. Footprints socks are blended with eco-friendly fiber which does not allow bacteria to grow hence making them antibacterial. Key features 1. Organic cotton 2. Antibacterial 3. Antimicrobial 4. Anti-allergic- no skin rashes and irritation"
Household,3,"BOXO Decorative Gift Basket for Anniversary, Birthday Gift, Wedding Gifts, Chocolate Basket, Fruits Basket, Gift Basket, Diwali Gifting, Pack of 1 (M1) BOXO Decorative Baskets for Function Formal Parties, Golden and Silver, 20 gm, Set of 4."
Books,0,25 Practice Sets SSC CGL Tier I Workbook 
Books,0,Peppa Pig: Little Library 
Books,0,Operating Systems Design and Implementat: Design and Implementation 
Household,3,Isomars Seam Ripper (SR04) - Set of 4 Isomars seam ripper in a set of 4 are meant for opening stitches for sewing and craft works. Easily removes wrong stitches without damaging the fabric. Small handy seam ripper comes with plastic cover.
Clothing & Accessories,1,"FunBlast Girl's Mickey/Minnie Ears Headband (Assorted Colour) - Pack of 2 FunBlast cute mickey/minnie headband hoop hair accessories, pink bow hairband/headband for girls, multicolour-lovely, pretty cute for your sweet girl great for little girls party favors or costume parties- material: non-woven fabric material colour: assorted multicolour, colour may vary. Quantity: 2 pcs."
Household,3,"Delta Children Diamond Tufted Gliding Ottoman, Flax"
Clothing & Accessories,1,Qube By Fort Collins Boys' Animal Print Regular Fit Polo (Pack of 2)
Household,3,"White Westinghouse 3-in-1 Dehumidifier with Air Purifier & Dryer WDE121 It’s a 3 in 1 Dehumidifier, along with air purifier or dryer."
Clothing & Accessories,1,Lee Cooper Girls' Cotton Shorts Girls shorts beige basic 5 pocket relaxed cotton.
Books,0,Introductory Microeconomics - Textbook in Economics for Class - 12  - 12103 
Household,3,"Amazon Brand - Solimo XL Bean Bag Cover Without Beans (Purple) Size:X-Large   Solimo bean bag covers are made from leatherette fabric which is double-stitched with superior seam and tear strength. They are built to be durable, comfortable and are a great addition to the contemporary home. The covers come with a 1-year limited warranty against manufacturing defects."
Household,3,"Painting Mantra Synthetic Wood Art Street Tropical Framed Canvas Art Print (11 X 13 inch, Green) Color:color - green|| theme - tropical green   Make a blank space pop with rad art prints. Better yet, start a gallery wall and mix art prints, posters, canvas prints and framed prints of all sizes to elevate your space with the design. This art print is printed on gallery canvas natural white color, matte, and ultra smooth texture. Box frame used which highlight the print even more."
Household,3,"Symphony Jumbo 51-Litre Air Cooler (White)-For Large room Product dimension: 655mm x 634mm x 773mm always allow for cross-ventilation in your area/room, else cooler won't work effectively dura-pump technology, large pad area for superior cooling and powerful 18-inch fan cooling area (mtr.3/Ft.3): 113/4000 Capacity: 51 liters warranty: 1 year on product power: 185 watts; operating voltage: 110-230 volts"
Books,0,"International Relations About the Author Dr V N Khanna retired as Reader in Political Science at Deshbandhu College, University of Delhi. In his long career spanning more than four decades, he has been involved with student development activities and was, for some time, the Principal of his college."
Household,3,RjKart Sheesham Wood Writing Study Table for Home and Office | Study Dask | Honey Finish Color:Honey finish 1   Sheesham wood study table with double deck hutch on top. Table has ample storage space and is fit for use in households as well as offices.Rich looks and robust design are inherent to this study desk. Ample width and storage makes it perfect to manage your office/study area in a clutter free manner.Refer to the images for details of dimensions.We encourage self assembly of products to help customers better & completely understand the product they buy.
Books,0,"Organic Shastra Biryani Masala 150g The most aromatic of them all, Biryani Masala is a surreal blend of whole spices lightly roasted and powdered. Used especially for biryani, the masala powder adds not just flavour but the subtle aroma that characterizes a perfect dish of biryani. The blend is similar to ‘Garam Masala’ but it is not very spicy.. The magic ingredients of Biryani Masala include cinnamon, cardamom, cloves, fennel, etc"
Books,0,"What Are You Doing with Your Life? Review ""One of the five saints of the 20th century""""The meaning of Krishnamurti for our time is that one has to think for oneself and not be swayed by any outside religions or spiritual authorities""""Krishnamurti influenced me profoundly"" 				    	 					 Book Description Krishnamurti explains how to make the best choices in life. He is one of the greatest thinkers of the 20th Century. 				    	 					              See all Product description"
Clothing & Accessories,1,"Kerala traditional colour mundu for men, 100% pure cotton men""s dhoti. kerala traditional mens kavi mundu is very famous for festivels and functions.Looms of balaramapuram kerala is very famous for cotton products such as sarees,mundu,set saree.etc.."
Clothing & Accessories,1,Kuchipoo Kids Sleeveless T-Shirt
Electronics,2,"Ikall N4 Tablet (7 inch, 16GB, 4G + LTE + Voice Calling), Black Sales Package: Tablet, earphone, charger, user manual, 4g Volte supported; Operating system: Android 6. 0 marshmallow, 1. 3 Ghz quad-core processor, 7 inch display, 1024 x 600 pixels resolution; Camera: 5mp primary camera, 2mp secondary camera, dual sim, 3000 mAh lithium-ion battery capacity; Memory: 1GB RAM, 16GB internal memory which can be expandable upto 32GB;1 year warranty."
Clothing & Accessories,1,"Unisex Winter Knit Fingerless Gloves Arm Warmer with Thumb Hole Color: Black, white, dark grey, light grey, coffeeMaterial: Wool and acrylicSize: L*W: 16*6cm(6.30*2.36in), suitable for adult women & menPackage Includes: 1 (pair) x Thumb hole glovesNote:- Please refer to the measurement. Tiny measuring error is allowable in normal range.- There might be a little color difference due to the monitor, camera or other factors, please refer to the physical item.Package Including1 (pair) x Thumb hole gloves"
Household,3,Coleman Broadband Quad Chair with Cooler Coleman Oversized Quad Chair with Cooler
Books,0,A Collection of Nursery Rhymes: Over One Hundred Classic Rhymes to Treasure (Cute as a Button) 
Books,0,"Complete Garden Planning Book About the Author Peter McHoy is a well-known author and journalist. He started his career as a seed analyst, but soon moved into magazine journalism so he could share his enthusiasm for plants and gardens with others. He has written more than 60 books, and he contributes regular gardening features for a number of magazines. He has compiled and edited important gardening works such as The Gardening Encyclopedia and The Gardener's Diary. He also runs a horticultural photographic library."
Clothing & Accessories,1,US Polo Kids Boys' Plain Regular Fit T-Shirt boys-polo t-shirt-hs strp clr tee-med yellow-fashion
Clothing & Accessories,1,"BODYCARE Mickey Printed Boys Brief Pack of 6 from Bodycare Brings a new collection of Boys Vest Pack of 6, 100% cotton fabric with attractive design and stylish trendy look."
Household,3,Castor Tower Fan with 25 Mtrs Air Delivery & Anti Rust Body (Green)
Household,3,TCLPVC Economy Bamboo Blind Chick Window Closer Curtain  (4 Sizes) Natutal Range… (W4/H7) Tclpvc Economy 4/7 feet Bamboo Chick Window Closer - Curtains For Balcony - Windows - Outdoors - Door - Kitchen - Home - Office - Hotel - Resorts – Blinds - Shades – Screens - Patio Umbrellas - Canopies - Shade - Sunscreen Fabric - Screens - Protection - Balcony Privacy - Protective Screens - window blind curtain – Verandas - Public Areas - Door Curtain - Fly Screen - Divider Room US - 1003
Electronics,2,"PRO365® Economical Mobile Stand 180 Degrees Rotation Multi Angle View (Black) PRO365 Mobile Stand is sold only and exclusively by PRO365. Other sellers will be removed and attract infringement notices.PRO365 Mobile Tablet Stand Holder comes with Cushion Pad with Rotation 270 Degree and is coated with a special material to give you both grip and feeling and comfortable access to your phone.MATERIAL: Plastic, Waterproof Material, Ideal to keep on Desks, Washrooms or Dining."
Clothing & Accessories,1,Mothercare Baby Boys' Sleepsuit
Household,3,"Fourwalls Beautiful Artificial Tulip Bunch (40 cm, 9 Flowers, Rani)"
Clothing & Accessories,1,"Tex Homz Unisex Cotton Anti Slip Cotton Loafers No Show Socks (Multicolour, Free Size) Pack of 6"
Electronics,2,Generic DIY 3D Printer Electronic Motherboard Independent External SD Card Module for Motherboard Supporting with Dupont line 3D0116 As per the product
Books,0,Munish Bhandari's Corporate And Allied Laws latest edition for CA Final Old Syllabus May 2019 Exams With 1300+ MCQS( With Answers & Reasons)
Books,0,"Red Hat Enterprise Linux 6 Administration: Real World Skills for Red Hat Administrators About the Author Sander van Vugt is an independent technical trainer, consultant and author having authored numerous titles on Linux. He has been using Linux almost since its inception having first used it in 1992. He currently spends much of his time travelling around the world teaching Linux including Red Hat. He is also a regular contributor to such publications as searchenterpriselinux.com and a frequent speaker at the leading Linux conferences."
Books,0,"Anthropology, 12e "
Books,0,"Pyjamas are Forgiving About the Author Twinkle Khanna is one of India’s top-selling writers and the author of two national bestsellers, Mrs Funnybones (winner of a Crossword Book Award 2016) and The Legend of Lakshmi Prasad. She is one of Times of India’s most read columnists and has won numerous awards, including India Today Woman Writer of the Year, Outlook Award for Most Inspiring Woman of the Year and Vogue Opinion Maker of the Year. She is the founder of Mrs Funnybones Movies and in 2018 produced the highly acclaimed film Pad Man. Khanna lives in Mumbai with her family."
Books,0,Tribal India by Nadeem Hasnain Product Condition: No Defects.
Books,0,"Penguin Classics Paradise Lost About the Author John Milton (1608-1674) spent his early years in scholarly pursuit. In 1649 he took up the cause for the new Commonwealth, defending the English revolution both in English and Latin - and sacrificing his eyesight in the process. He risked his lifeby publishing The Ready and Easy Way to Establish a Free Commonwealth on the eve of the Restoration (1660). His great poems were published after this political defeat. John Leonard is a Professor of English at the University of Western Ontario.From the Trade Paperback edition."
Clothing & Accessories,1,"Bonjour Girls' Knee-High Socks (Pack of 5) Cute, cosy and above all, comfortable for delicate baby feet, these pastel shade Bonjour Kids Softy Comfy Socks , with anti-slip fabric in the socks, terry loop cushioned linings and Standard toes for smooth seams that cosset and care for those sensitive little toes.These sweet, socks with their little shoe top design in different colours look fancy , reinforced at stress areas, properly shaped for tiny feet."
Electronics,2,"Cooler Master Silent 120 SI2 (4 in 1) Cooling Fan (R4-S2S-124K-GP) Size name:120mm   Case cooling is becoming more essential these days. The better airflow inside your system, the cooler and more stable system you will get.  Higher air flow to enhance cooling performance. Ultra silent operation at 19 dBA. Economic solution for perfect performance. RoHS compliance for protecting the environment."
Household,3,Smart Shelter Super Strong Folding Rest/Relax Outdoor and Indoor Chair(with Foam Padded Cushions) (100% Metal Body) Smart Shelter Folding Relax Outdoor and Indoor Chair is the perfect way to relax. Its super strong design makes it the most durable chair available in the market. The chair comes with 2 padded cushions for great comfort. Its unique foldable design makes it Indoor as well as Outdoor use chair.
Electronics,2,CrossBeats Mini Bluetooth Receiver with 3.5mm Aux Adapter and Wireless Car Kit (Silver)
Household,3,Encore Decor Solid Sheesham Wood Counter/Bar Cabinet for Living Room - Black Contemporary Furniture Reflects Designs That Are Current Or En Vogue. It Does Not Necessarily Reference Historical Design Styles And Often Provides A Feeling Of Everything In Its Place. Furniture Bought Is Shipped For Free And Comes With A 1 Year Warranty Against Any Manufacturing Defects.
Books,0,"Indian Political System About the Author Mahendra Prasad Singh retired as a Professor and Head of the Department of Political Science and Dean of Faculty of Social Sciences, University of Delhi. He has also served as Director at the Indian Council of Social Science Research, New Delhi. He is presently the editor of the Indian Journal of Public Administration, IIPA, New Delhi. Himanshu Roy is Associate Professor of Political Science, DDU College, University of Delhi. He was Fellow, Nehru Memorial Museum and Library, Teen Murti, New Delhi."
Electronics,2,AmazonBasics Adventure Laptop Backpack - Fits Up To 17-Inch Laptops
Clothing & Accessories,1,"Twist Fab Infant Kids Lower Track Pant, Cotton Pajama with Bottom Ribs Pack of 6 (Multicolored) These are made from 100% cotton, Comfortable and Soft Lower for your little one, Good quality elastic is used for comfort of baby Available in multi color For giving a stylish and casual look available in multi sizes."
Electronics,2,"HP Odyssey L8J88AA Backpack for 15.6-inch Laptop Colour:Black   The HP 15.6-inch Montego Backpack provides dedicated notebook and tablet storage, comfortable padding, multiple straps and pockets, and distinctively noticeable colour."
Electronics,2,Synology DiskStation DS718+ Network Attached Storage Drive (Black)
Electronics,2,SanDisk Ultra Fit USB 3.1 Flash Drive 32GB Size name:32GB   SanDisk ultra fit USB 3.1 32GB - small form factor plug and stay hi-speed USB drive.
Books,0,Know Your Personality 
Electronics,2,"SToK ST-10SC Strip Cut Shredder for 5 A4 Sheets SToK Paper Shredder will shred 5 sheets at once. It has 7L wastage bin where all the shredded wastage can store. This device has Auto Start/ Off /Clear /Reverse features. This device is very easy to use and perfect for your Home & Office. For better result, please give 30 min of rest to machine at least after 2 minutes of usage"
Clothing & Accessories,1,Creature Men's Cotton Calf Length Formal Socks Combo of 3(SCS-11.1) These socks are crafted from 100 percent combed cotton and hence will keep your feet comfy and cozy all through the day. Get the Ankle with these extremely discreet Ankle socks from Creature. The socks not only help you look good but also enhance the life of your shoes while keeping your feet clean and fresh.
Clothing & Accessories,1,"Satyam Kraft Men's PU Leather Belt(Black) This belt acts as the perfect accessory to complete your look and make you stand out. Featuring an elegant design, this men's belt is long-lasting, light weight and made of fine quality fabric. This belt is made of superior soft fabric to provide you a good accessory for everyday use."
Books,0,"Advanced Educational Psychology About the Author The author, Ph.D., is a Professor and head of depatment of post graduate studies at CR college of education, Rohtak, Haryana"
Clothing & Accessories,1,"Krystle Boy's Woolen Cotton Warm Winter Hat Knit Cap with Inside Fur Beanie (Black) Your Wardrobe Is Incomplete Without This Imported Warm Casanova Series Cap From The House Of Krystle! Truly A Unique Design, This Awesome Product Is Created From Wool Outside & Inner Layer Is Created From Fur For Extra Warmth. Couple It With A Jacket To Grab The Attention Of Onlookers! Recommended Dry Clean!"
Household,3,"Whirlpool - Wall Mount for Outdoor Unit of Split Air Conditioner Whirlpool wall mount is made from virgin steel, is comes with Fasteners, nuts, bolts and washers. Load capacity is up to 2 ton, powder coated paint for longer life."
Books,0,Case in Point 10: Complete Case Interview Preparation 
Books,0,"CURRENT DENTAL EXAMINATION-2017 Latest Solved AIIMS, PGI & UPSC Papers Memory-Based Authentic Qs with Concept-Based Explanations with References 200+ Image-Based Qs based on New Exam Pattern A Unique Companion in Your MDS Preparation"
Household,3,"Spread Spain Metallic Gold Wheeled Serving Cart with Finials Chrome Trolley Store and move things easily with this service trolley. The trolley has two trays, which are made of glass. The frame of the trolley is made of steel, and the trolley has two small caster wheels and two bigger wheels at the base to move the trolley with ease"
Books,0,Physics for Joint Entrance Examination JEE (Advanced) Electrostatics and Current Electricity 
Household,3,AMERICAN MICRONIC Replacement Filter Set for Air Purifier AMI-AP1-22Dx This is the original Replacement filter set for American Micronic Air Purifier AMI-AP1-22Dx. There is no return or replacement policy on this product.
Clothing & Accessories,1,"ahhaaaa Kid's Denim Dungaree with T-Shirt (1-5 Years) ahhaaaa brings exclusive winter range for little infants. The range has been carefully crafed keeping the comfort of your delicate baby. So, grab this dungaree with t shirt and make you little baby centre of attraction this festive season."
Clothing & Accessories,1,"Maniac Women's Fleece Sweatshirt Step out with friends on a chilly evening, make sure you look your stylish best wearing this black coloured sweatshirt from Maniac. Besides being visually appealing, this slim-fit sweatshirt is comfortable and warm too, courtesy its cotton fabric."
Electronics,2,"CIRCLE CG-16XB 120mm 15 LED Silent Cabinet Cooling Fan (Blue) Colour:Blue   Input (Watt) : 3.36 ± 10percentW R.P.M : 1650 ± 10percentRPM Air Flow : 59.6CFM Air Pressure : 2.67mm H2O Noise : 25.7 dBA Weight : 132G Fan life Expectancy : 50,000 hours Bearing Type : Hydraulic Long-life sleeve Screws: 4 Connector : 4-pin and 3-pin LED number : 15 LED Dimension : 120x120x25mm Now GIVE your computer a trendy makeover with high performing LED Fan and keep the 'cool' quotient high."
Household,3,Usha Duos Mist Air 400mm Table Fan (Purple) Aerodynamic PP blades for better air delivery with low noise Dual colour design with attractive and decorative style Jerk-free & uniform oscillation Soft hand tilting mechanism with dual options - knob & ratchet type mechanisms Fuse to auto-protect motor during thermal overloading 2 Years Standard Warranty
Household,3,"DivineCount White Clay for Sculpture and Pottery 1kg Pack clay to make sculptures, idols, super white pure natural clay.Easy mouldable clay with no grits and foreign particles suitable for Architectural workshops and school projects. please Give rating and feedbacks."
Books,0,Travel Between the Lines Coloring Mexico: An Adult Coloring Book for Globetrotters and Daydreamers 
Books,0,Cambridge English: IELTS 11 Academic with Answers 
Household,3,"Palo Ergonomic & Adjustable Angle Foot Rest For Office & Home Color:PALO001   Made of High Impact Polystyrene Rubber padded backing keeps footrest in place Design to reduce muscle strain and fatigue, is ideal for home and office use"
Clothing & Accessories,1,"Mothercare Baby Boys' Sleepsuit (Pack of 3) These gorgeous pack of 3 sleepsuits have been designed in a soft and cosy cotton for a comfortable night's sleep, The poppers are nickel-free to prevent irritation on your baby's delicate skin. The feet are enclosed for warmth and they have our toe safe design which prevents threads wrapping around tiny toes."
Electronics,2,"AC Power Cord Cable 6FT for AOC Computer Monitor with Life Time Warranty This premium Huetron Cable is manufactured using superior materials for reliable performance. The high-quality connectors are molded for durability and feature integral strain relief that gives the cord extra flexibility, reduces stress, and helps the cord and connectors move freely without cracking. This SJT power cord has three 18 AWG conductors and a 10-amp rating."
Household,3,Softline-Pro SP26 Foot Rest Suitable for Classical Guitar Foot Rest Suitable for Classical Guitar
Clothing & Accessories,1,Fourgee Women's Slim fit Jeans (cloud wash) FOURGEE as a brand which brings you quality and affordability. We take pride in our commitment to maintain quality standards in each piece that is marketed by us. Every FOURGEE piece embodies the perfect balance between aesthetics and functionality.
Household,3,"DecorNation Carissa Solid Wood Set of 3 Nesting Table (Sheesham Wood, Brown)"
Books,0,Objective NCERT at Your Fingertips for NEET-JEE - Physics 
Household,3,"3M 4-Watt Ultimate Dresser, 250 ml Restores that deep black new look to tires and restores a deep rich natural appearance to exterior rubber bumpers or vinyl moldings. Cleans and rejuvenates."
