Category,label,Description
Books,0,Guide to CLAT & LL.B. Entrance Examination 
Books,0,The Amityville Horror 
Electronics,2,"Dell Vostro 3568 Intel Core i3 6th Gen 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/MS Office/Black/2.18 kg) Dell Vostro 3568 Laptop Intel Core i3 6th Gen CPU, 4 GB Ram, 1 TB HDD, 15.6"" Display, Win10 + MS Office 1 Yr Warranty by Dell."
Electronics,2,AmazonBasics USB 3.1 Type-C to 3 Port USB Hub with Ethernet Adapter - Black
Electronics,2,"Redgear Dagger Professional Gaming Headphones with RGB LED Effect, Volume Controller and Retractable Microphone High-quality sound production unit offers high, medium and low audio experience. Skin type protein earmuff. Lightweight design. LED dazzle light. High sensitivity microphone delivers more accurate, clear and smooth voice. Volume control button. Microphone on-off button. 3.5MM green jack is for headset, red jack is for microphone. USB interface for power supply for the LED lights."
Household,3,"Firstchoiceale Inflatable Sofa Chair For Kids 60 Kg Intex inflatable chair for all. Size 25"" x 24"" x 29"". Quality tested transparent vinyl. Portable, durable and comfortable. Easy to inflate, deflate and store. Holds weight upto 60 kgs warranty : 1 month vendor"
Household,3,"Kebica 48 Key Alumnium Lock Box, Key Cabinet (Silver) with Key Tags Convenient Key Cabinet for your home and office by Kebica. Keep your keys where you need them with this key cabinet. Don’t waste time searching for misplaced keys when you need them the most. Neatly organized and label keys so that they are easily accessible for employees, customers, and family members."
Household,3,"Alex Daisy Oslo Bunk Bed for Kids(Brown,MK-PB-88)"
Books,0,"An Outline History of English Literature About the Author Hudson spent his youth studying the local flora and fauna and observing both natural and human dramas on what was then a lawless frontier, publishing his ornithological work in Proceedings of the Royal Zoological Society, initially in an English mingled with Spanish idioms. In Argentina, Hudson is considered to belong to the national literature as Guillermo Enrique Hudson, the Spanish version of his name. A town in Berazategui Partido and several other public places and institutions are named after him."
Books,0,SSC Topic-Wise Latest 43 Solved Papers (2010-2017) - Set of 4 Books 
Clothing & Accessories,1,"Ziory 1 Pcs Silver Plated Crystal Crown Princess Tiara Hairband For Baby Girls Store Your Fashion Jewelry In Its Case, Or In Your Jewelry Box, With A Moisture-Absorbing Product Or The Small Silica Packets. If You Don't Have Access To Moisture-Absorbing Materials, Make Sure Each Jewelry Piece Is Thoroughly Dry, Then Seal It Into A Ziplock Plastic Bag For Storage.Dry Your Hands Before Handling,Store Clean And Dry In A Soft Cloth Containers To Avoid Scratching The Items; Store Individual Pieces Separately."
Books,0,Food & Beverage - Service and Management 
Household,3,Ozoy Car Inflatable Bed Kit
Household,3,"BeeMall SRP Satin Polka Dots 1/2-inches Ribbons with DIY Flower Craft Booklet and Bow Instructions Pack of 10 2 meters half inch glossy satin ribbons with polka dots for decorative binding and craft purposes. A set of 10 shining colors of ribbon with a craft booklet comprising 4 D.I.Y designs for this amazing turn. Get fine quality satin ribbons that render an elegant look for innumerable craft usages at your door step. Don't miss out this distinctive chance. Hurry while supplies last. Usage : gift wrapping; bow making; hair dressing; flower making; flower designs on handbags, shoes, robes."
Household,3,Hexagon Furnitures Wooden Orchid Dark Glossy Dressing Table Hexagon Furniture Orchid Dark Glossy Dressing Table With Light Weight and Storage
Household,3,"Rica Brazilian Wax with Avocado Butter for Bikini and Face, 28.2oz A high performance wax formulated for though bikini waxing. The formulation allows for a thinner application of wax resulting in a less painful, more comfortable treatment."
Electronics,2,AmazonBasics 6-Feet VGA to VGA Cable An Amazon Brand.
Books,0,The Religions of India: Handbooks on the History of Religions; Volume 1 
Household,3,Worthy Shoppee Wooden & Iron Rocking Chair (Multi-Color) Rocking Chair Seat folding This Rocking Chair is fully Portable & Easy to Dismantle. Easy to Carry from one place to another. Relax your Back Pain & Heals your mind while rolling on it.
Clothing & Accessories,1,"Hhumanmakerr Men's Cotton Team India Supporter Cricket Cap (Blue, Free Size) Made from 100% Fine material, extra wide brim for maximum protection from the sun. This cap is built for casual wear, Outdoor fashion, Baseball, Cricket, Football, Hockey, IPL, College matches. and are made up of 100% superior cotton fabric materials which provides a smooth feeling. Good-quality fabric material gives a perfect shape, one size fits all. Use as casual or wear while playing for the team in sports tournaments. Wash care instructions: 100% cotton, Wash dark colors separately, hand wash, Do not bleach."
Electronics,2,"Micromax Canvas Tab P681 Tablet (8 inch, 16 GB, Wi-Fi + 3G LTE + Voice Calling), Grey Colour:Grey   1GB Ram, 16GB Rom, Rear Camera 5.0, Front 2.0"
Clothing & Accessories,1,Rupa Frontline Kids Boys' Cotton Vest (Pack of 2)
Clothing & Accessories,1,"FirstClap Corduroy Full Length Dungaree for Boys & Girls|Dress for Boys|Jumpsuit for Kids|Unisex Firstclap-A trusted brand with it's established name in the kids section of apparels. We have been in service for nearly 20 years producing various desgins and styles in kids apparels ranging from dungree, shorts, jeans etc. We use finest quality fabric made under strict supervision so that not even a single stich is faulty. We adhere to our motto of Quality at best price because we know you want best for your child."
Clothing & Accessories,1,Qube By Fort Collins Boys' Animal Print Regular Fit Polo (Pack of 2)
Clothing & Accessories,1,Jannon Black Color Denim Jeans for Women This jeans from the house of Jannon is finely tailored and constructed using denim material in black color. It has skinny leg style with buttoned closure type and regular waist style. Wear this jeans during casual occasion for an elite look.
Books,0,41 Years (1978-2018) JEE Advanced (IIT-JEE) + 17 yrs JEE Main Topic-wise Solved Paper Physics 
Household,3,"Sunshine Furniture Kids Baby Miniature Handmade Wooden Chakla Belan Set with Rolling Pin and Board, Small (Brown) This product is made by Sunshine Furniture. It is unique identity and reputation.This product is made under good way and completely checked by professionals.Dimension of all of all products are approx. Colours may slightly changed.Because they are made by hands so might be little unfinished."
Electronics,2,HP 16GB Class 10 MicroSD Memory Card (U1 TF Card 16GB)
Clothing & Accessories,1,Biba Girls Girls' Salwar Suit Set
Clothing & Accessories,1,GOODTRY Women's Cotton Hoodies-Black
Household,3,"Orient Electric Apex-FX 1200mm Ceiling Fan (White) Color Name:White   Highly reliable and durable, Orient electric Apex air ceiling fan is a must-have for your home. Available in 2 different colors, this fan will seamlessly blend with the décor of your room. Equipped with a powerful copper motor, Orient electric Apex air delivers high air delivery and air thrust to offer the best in comfort and coolness. The powder coating provides longer life to the fan."
Books,0,"My First Book of Farm Animals: First Board Book (My First Books) About the Author Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
Electronics,2,"CableCreation 3.3FT External HD Mini SAS SFF-8644 to SFF-8644 cable 1M Black BRAND : CableCreation, CableCreation 3.3FT External HD Mini SAS SFF-8644 to SFF-8644 cable"
Household,3,MBTC Three Seater Airport Visitor Waiting Chair (Set of 3) Dimensions & Shipping Max. Overall Height (cm) 108 cm Min. Overall Height (cm) 77 cm Overall Width (cm) 175 cm Overall Depth (cm) 65 cm Weight (kg) 29 kg Shipped In 2 Parts Assembly Type Knock down
Clothing & Accessories,1,"Mothercare Girls' Pyjama Set (Set of 2) This pack of two pyjamas features bright and colourful designs that are perfect for little ones. The tops come with long sleeves to keep little arms warm on cooler nights, while the bottoms feature an elasticated waist for all night comfort. The tops and bottoms can be mixed and matched with each other or other nightwear to create different bedtime looks."
Household,3,"ToyShine Girl's Rainbow Loom Band Kit Toy Rainbow loom band kit toy, more than 2500 bands are available. Best toy gift birthday gift for girls."
Household,3,Urban Ladder Masai Foldable Bench (Teak) Warranty Information: The warranty does not cover damages due to usage of the product beyond its intended use and wear and tear in the natural course of product usage
Clothing & Accessories,1,Devil Prime Unisex Blue Kids Denim Stylish Jogger/Jeans Devil Dark Blue Cotton Elastane Regular Fit Jogger Pants for Boys
Books,0,Rich Dad Classics Box Set 
Clothing & Accessories,1,"Mothercare Baby Girls' Regular Fit Sleepsuit (Pack of 3) We know that little homebodies like to get messy, so here's a collection of carefully crafted sleepsuits to keep them clean. We've combined cotton rich fabrics with a subtle stretch and all over animal prints to create comfortable and stylish everyday wear. We've even thought of mummy and daddy, including fuss-free poppers for easy outfit changes. Sweet dreams!"
Clothing & Accessories,1,Cherokee by Unlimited Boys' Slim Regular Fit Cotton Trousers
Electronics,2,"CIRCLE CG-16XB 120mm 15 LED Silent Cabinet Cooling Fan (Blue) Colour:Blue   Input (Watt) : 3.36 ± 10percentW R.P.M : 1650 ± 10percentRPM Air Flow : 59.6CFM Air Pressure : 2.67mm H2O Noise : 25.7 dBA Weight : 132G Fan life Expectancy : 50,000 hours Bearing Type : Hydraulic Long-life sleeve Screws: 4 Connector : 4-pin and 3-pin LED number : 15 LED Dimension : 120x120x25mm Now GIVE your computer a trendy makeover with high performing LED Fan and keep the 'cool' quotient high."
Clothing & Accessories,1,"ItkiUtki Girl's & Women's Military Camouflage Casual Multicolor Army Shirt Trendy and appealing, this Girls, Women's Stylish Full Sleeves Military Camouflage Women's Green Shirt from ItkiUtki exclusive collection will surely impress fashionable women. This Stylish Women's Military Green Shirt will surely add unique charm to your casual as well as party look. Made from quality fabric, this top will help you stay relaxed all day long."
Electronics,2,"Belkin Bluetooth Wireless Keypad for iMac/Mac Pro/MacBook/Air/Pro (F8T068ttAPL) Ideal for data entry and accounting functions, the Your Type Wireless Keypad is a convenient, time-saving addition to your workspace. This compact wireless keypad adds 28 keys to your Apple Wireless Keyboard or MacBook, including function keys and document navigation controls."
Electronics,2,"Targus Armor ACH114AP-52 4-Port Powered USB Hub 2.0 (Black) Designed to work with PC, Mac and Netbook computers; Windows® 8, 7, Vista, XP, Mac OS X v10.8, Mac OS X v10.7. A compact design makes it easy to transport anywhere. Turns one USB port into four with one open port. Designed to support up to four(4) USB devices. Using USB 2.0 this hub is capable of transferring files at a rate up to 60MB / sec Conveniently connects to most laptops and desktop computers with a bundled USB 2.0 cable. 1 Year Limited Warranty"
Clothing & Accessories,1,"Esteem Boy's Inner Elastics Cotton Briefs - Pack of 6 Suitable for Boy's.Smooth inner Elastics breifs. Suitable for normal body.If you want bigger size you can try the one size extraAlso we have full range of innerwears for your family.We have /Men Briefs,Trunks, Vests,/Women Panties,Slips ,and /Boy's and Girl's Briefs Panties,Innerwear drawer and slips. Now you can see more than 100 innerwear products for all. If you get any two ""Esteem innerwear"" pack of products, get one (10-inch width X 17-inch length ) fancy hand towel"
Electronics,2,Cables Kart SMPS Power Cable Cord - Black (3 Meter) Size name:3 Meter   ICables Kart Color :/Black Description/ Fully Moulded 3 pin India 13 amp plug to IEC socket. his is used for powering a monitor or PC and a whole host of other PC Equipment like printer. he plug comes fully tested and is supplied with a fitted 5 amp fuse. his plug is ROHS compliant ensuring the highest material standards in India 10 m long black color. Warranty/ 2 Year Warranty with Cables Kart. /I
Books,0,"Biological Anthropology: The Natural History of Humankind About the Author Craig StanfordUniversity of Southern California, John S. AllenUniversity of Southern California, Susan C. AntonNew York University."
Electronics,2,"HP Laptop Adapter Charger 65w 19.5V 3.33A Bluetip for Pavilion 11-n1xx X360, 13-a1xx X360, Envy M6-1200, 14-w0xx Its HP Adapter having HP (India) Warranty with Fugen Power Cord. HP Original Adapter comes without Power Cable so we are offering Free Fugen Power Cable with this Adapter. Its 19.5v / 3.33a 65w Adapter, buy only if you old adpater is/was 65w and have the same specification."
Books,0,RRB (Railway Recruitment Board) 2019 - Junior Engineer CBT -I & II - Electronics Engineering 
Books,0,"Intex Swim Centre Inflatable Family Swimming Pool, Multi Color Have a splash with the whole family in the swim centre family pool from Intex. This affordable pool easily inflates in two chambers and the heavy vinyl provides durability and surface that is easy to keep clean. Ideal for the entire family, this swim centre family pool was built with heavy 13 gauge vinyl for extra durability and it has a convenient drain plug to make draining and storage a breeze. The swim centre family pool is a refreshing relief from the hot summer sun."
Clothing & Accessories,1,Tara Lifestyle Mod Boys Slim Fit Plain Denim Jeans Pant Mod5001 Tara Lifestyle Blue or black Jeans For Boys. Regular Fit Jeans for Boys.
Clothing & Accessories,1,AAKRITHI Unique Girls Blazer Aakrithi comes with its trendy dynamic fitting Girls Coat / Blazer with its unmatchable comfort level and unique colour combination which provide the feel of uniqueness and comfortness to its owner. Aakrithi have designed this Girls Coat / Blazer taking care the needs of its customer in mind. Aakrithi never compromises with the quality of products. Which provide to Their customer. Aakrithi is one of the biggest Girls Coat / Blazer Brand in India that provide high quality Girls Coat / Blazer at very Reasonable And affordable Cost.
Clothing & Accessories,1,Rupa Frontline Kids Boys Cotton Brief (Pack of 5) (Colors May Vary)
Clothing & Accessories,1,"Zavia Premium Plain Rain Coat (Black) The new and improved Zavia Original Luxury Rain Wear keeps you dry and comfortable even in a downpour. The Rain Wear is made from tough 100% polyester fabric that's treated with a DWR finish to repel moisture and light stains. Plus, it's fully seam-sealed and topped to ensure total waterproof, breathable protection. A full-length front zipper along with button flap closure for a personalized fit. Two spacious hand pockets with closures provide ample storage for your essential gear and Comes with pant."
Electronics,2,Redgear Blaze 3 colour backlit gaming keyboard with full aluminium body & windows key lock 104 keys with 10 million keystroke life.
Household,3,"Cello Orchid Center Table (Sandalwood Brown) Color:Sandalwood Brown   Cello furniture brings convenience and style to your interiors. Elegant and functional furniture, this centre table is well crafted and designed."
Household,3,"Blossom Make-Up Beauty Set with Hair Dresser & Accessories Toy for Girls, Pink A cool beauty set for your little girl. It's an amazing combo of all the make up accessories for your little one. It includes hair dryer, comb, mirror, lipstick, ear rings, shadow colors and other accessories. Your baby girl is going to love playing with this set. Made of high quality plastic. Ideal for Gifting Purposes. For Ages 3 Years & Above."
Clothing & Accessories,1,"Kuchipoo Premium Quality Boys Lower Kids Track Pants … This product has pockets and is made from cotton and finished in a attractive grey and blue color. Furthermore, it is recommended to be kept away from extreme heat, fire and corrosive liquids to avoid any form of damage."
Household,3,"Forzza Elly Kid's Rocking Chair (Matt Finish, Yellow) Color:Yellow   Made for kids, this rocking chair is very comfortable and adds color to your space. Made in birch ply wood pressed together, this chair is highly durable without losing functionality and aesthetics. The frame can be wiped with a soft damp cloth. Avoid using sharp objects that can scratch the surface or tear the fabric. Keep away from sunlight. Delivered in a knock down state. Assembly will be provided by the seller. Adult supervision is recommended."
Electronics,2,"Zotac GeForce GTX 1050 Ti OC Edition ZT-P10510B-10L 4GB PCI Express Graphics Card Style name:1050 Ti OC Edition, 4GB   Brand Zotac Series GeForce Product Dimensions 11.02 x 8.46 x 2.17 Inches Item model number ZT-P10510B-10L Processor Count 1 RAM Size 4 GB Graphics RAM Type GDDR5"
Clothing & Accessories,1,"Superman Kids Boys Full Sleeve White Color T-Shirt Superman Kids Boys Full Sleeve White Color T-shirt,Made of Cotton ,Causal wear/Fusion Wear ,Hip Length T-shirt"
Household,3,"Schwarzkopf Professional Osis Flexwax, 85ml Flexwax ultra strong texture and separation control cream wax."
Electronics,2,Monoprice 4 Port SATA Serial ATA PCI RAID Controller Card - Silicon Image (102667) Add four independent SATA-I ports to your PCI equipped computer and enjoy the benefits of the optional software RAID configuration for added speed and/or data security with this adapter card from Monoprice!. However as long as you have an open PCI slot you can add this adapter card which gives you four SATA-I (1.5 Gbps) ports so you can use the newer drives
Books,0,Chemical Bonding for IIT-JEE/AIEEE 
Clothing & Accessories,1,"Kingsway kkmfmmed00015 Balaclava/Full Face Mask for Boys (Black) Kingsway riders face mask which protects your nose and ear from cold, snow, blizzards, etc. It covers your face except your eyes and forehead. It is made up of very soft material andfortable to wear. There is a small cut-out for breathing and ventilation also."
Clothing & Accessories,1,"FusFus Women's Printed Trendy Stoles, Free Size(Multicolour, F0168) - Pack of 6"
Electronics,2,"XP-Pen Artist22E Pro 21.5"" Drawing Pen Display Graphic Dual IPS Monitor with 8192 Level Pressure Sensitivity, 16 Express Keys and Adjustable Stand"
Clothing & Accessories,1,Rupa Frontline Kids Boys' Cotton Boxer (Pack of 5)
Clothing & Accessories,1,"Tag 7 Men's Silk Blend Dhoti Kurta Set Complete your ethnic look by wearing this dhoti kurta set by tag 7. A true epitome of class, the kurta will surely reflect your impeccable taste in fashion. Made from slik blend fabric, this set will surely make you the cynosure of all eyes. Team it with a pair of mojris or kolhapuri chappals to give a classy touch to your ethnic look."
Clothing & Accessories,1,ALC Creation Women's Chiffon A-Line Short Kurti (ALC1030 _Cherry Red_ ) ALC Creatio's Kurti
Electronics,2,"AmazonBasics Micro USB Charging Cable for Android Phones (3 Feet, Black) - 3 Pack Size name:3 Feet                                                                                 |                            Style name:Pack of 3   AmazonBasics Micro USB Charging Cable for Android Phones (3 Feet, Black) - 3 Pack"
Household,3,"KitschKitsch Kids Plastic Portable Folding Table Set for Activity Play and Study, 60x60x45cm (Red Blue and Yellow)"
Books,0,WINGS OF FIRE WINGS OF FIRE
Household,3,Usha Immersion Heater (2410) 1000-Watt with Shock Protection (Silver)
Books,0,"SSC Constable Exam Guide 2018 About the Author An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors."
Clothing & Accessories,1,"RC. ROYAL CLASS KV (kendriya vidyalaya) SCHOOL COTTON SOCKS FOR BOYS/GIRLS (PACK OF 3) FOR ALL AGE GROUPS-Navy Blue with Red stripes KV School socks(Kendriya Vidyalaya school) for boys & girls for all age groups made from super soft combed cotton yarn and spandex for elasticity, easy to wash and odour free socks. Do not Iron or Bleach. Hand wash only."
Books,0,Munish Bhandari's Corporate And Allied Laws latest edition for CA Final Old Syllabus May 2019 Exams With 1300+ MCQS( With Answers & Reasons)
Books,0,Cambridge Preparation for the Toefl Test Book with 1 CD-ROM and 8 Audio CD 
Clothing & Accessories,1,"Kuchipoo Front Open Kids Thermal Top & Pyjama Set for Baby Boys & Baby Girls, Pack of 3 (White) This product is made from fine quality thermal material and finished in white color. It features long sleeve, round neck, and is targeted towards both baby boys and baby girls. Please Bear in Mind That Displayed Photo May Slightly Different From Actual Item in Terms of Color Due to the Lighting During Photo Shooting or the Monitor's Display."
Electronics,2,"AEON METAL STICKER 24K Gold Plating Satyamev Jayate Stickers for Handbag, Laptops, Phones, Lockers, Notebooks, Hard-disk(Gold) - Pack of 2 Electroplating metal sticker metal sticker ep sticker mobile sticker car sticker removable & ropoditionable stick to all surfaced handbag, laptops, phones, lockers, notebooks, hard-disk, computers, freezers, cabarets, jewellery box."
Household,3,"Plastic Embroidery Stitching Hoop 4.75""""- Plastic Embroidery Stitching Hoop 4.75""""-"
Clothing & Accessories,1,"IndiWeaves Girls Cotton Printed Leggings Pack of 4 IndiWeaves offers you high on fashion, easy on pocket, cotton rich leggings for kids and girls. Suitable for all weather climate, Eco-friendly and skin friendly dyes used, as your skin. Made of Cotton Lycra BLend and the waist band being elasticated, IndiWeaves Leggings will give you the best of comfort and fit."
Electronics,2,"Lenovo Tab7 7304F Tablet (7 inch, 8GB, Wi-Fi Only), Slate Black"
Books,0,Save the Cat!: The Last Book on Screenwriting You'll Ever Need About the Author Blake Snyder's Save the Cat series of books are the best selling books on screenwriting
Books,0,"Microsoft Windows 10 Home English INTL: 32 and 64 Bits on USB 3.0 Included - Full Retail Pack - 1 PC, 1 User Style Name:Home   Windows 10 was developed using feedback from millions of people, so you can feel confident that Windows 10 works the way you want it to. Additionally, Windows 10 helps you stay current for a worry-free experience with the greatest features and our latest protection against viruses, phishing and malware."
Clothing & Accessories,1,US Polo Assn. Boys' Shirt
Clothing & Accessories,1,Kuchipoo Unisex Regular Fit Thermal Top and Pyjama Set (Pack of 3)
Electronics,2,"WD Green 120GB Internal Solid State Drive (WDS120G1G0A) Capacity:120 gb   Compatible with most desktop and laptop PCs, WD Green SSDs are available in 2.5” 7mm and M.2 2280 models for simple, worry-free upgrading.Monitor your drive’s health with the free, downloadable WD SSD Dashboard and clone drives with Acronis True Image WD Edition software.Every WD Green SSD includes a 3-year limited warranty so you can confidently trust WD for all your data needs."
Clothing & Accessories,1,PalmTree Boy's Regular Fit Shorts (131246519352 C204_8) Palm tree boys knits plain shorts set elasticated cotton casual wear.
Household,3,"MBTC Essilor PU 360° Height Adjustable Kitchen /Office / Bar Stool In Black Color:Black   This beautiful bar stool chair is sure to be the envy of all your friends. The chrome steel base and footrest work in harmony with a hydraulic piston for smooth adjustments which is a little reminiscent of a carousel pony pole, while the supple feeling of leather like graces the seat and back for comfort. The contemporary brown faux leather covering for years of wear and easy care. It must be a fashionable statement for your bar or conversation table."
Books,0,Cipla Immuno Boosters 4 to 6 Years - 360g (30 Count) Activkids immuno boosters by Cipla is a unique nutritional product for kids in a yummy choco-bite format that helps build Immunity. 1 choco-bite daily helps kids receive up to 100 percent RDA of important immunity nutrients.
Household,3,"CRAFTWAFT Handmade Pink White Mini Rose Floral Bunch With the endorsement of our experienced professionals,CRAFTWAFT is engaged in offering a wide assortments of Dry Decorative Flowers to our valuable customers. The products offered by us are processed using advanced processing techniques in compliance with the prevelling market trends.All our products are made by the highly professional & skilled artists to get a superior quality. All the flowers can be used to decorate your room,can be used in occasions also used in art and craft works."
Electronics,2,"WD My Passport 4TB Portable External Hard Drive (Yellow) The My Passport portable drive is trusted to store the massive amounts of photos, videos and music you love. Available in an array of vibrant, fun colors, the sleek style fits comfortably in the palm of your hand, so you can easily take your treasured content everywhere you go."
Clothing & Accessories,1,Cherokee by Unlimited Girls' Leggings
Books,0,"Shoe Dog: A Memoir by the Creator of NIKE About the Author One of the world’s most influential business executives, Phil Knight is the founder of Nike, Inc. He served as CEO of the company from 1964 to 2004, as board chairman through 2016, and he is currently Chairman Emertius. He lives in Oregon with his wife, Penny."
Clothing & Accessories,1,SCHOOL GIRL'S SPANDEX SHORTS PACK OF 2 Lula girl is designed to caress the baby like rose petals. Softest and safest cotton wear made for the comfort of the babies. Produced with finest combed cotton and with materials meeting international standards of safety suitable for the delicate skin of the baby. Lula babywear is beautiful and gentle. No hooks or potentially hurting components are ever used. Plaquets and envelope arrangements are provided so that draping the baby or removing the garment is not troublesome.
Books,0,Vidyabhartee Krushi Sevak Pariksha Mahabharti 2019
Household,3,SPORTO FITNESS™ 7 in 1 Bench with Removable Preacher curl MODEL:1231… FASTERO A combination of all gym equipments for the perfect workout It is highly durable and long lasting A perfect muscle builder
Clothing & Accessories,1,US Polo Kids Boys' Checkered Regular Fit Shirt Shirts-fs check shirt-dk blue fashion woven fsfull100% cotton
Electronics,2,"Hardware Hacking: Have Fun while Voiding your Warranty About the Author Kevin Mitnick (Technical Editor) is the most famous computer hacker in the world. Since his first arrest in 1981, at age 17, he has spent nearly half his adult life either in prison or as a fugitive. He has been the subject of three books and his alleged 1982 hack into NORAD inspired the movie War Games. Since his plea-bargain release in 2000, he says he has reformed and is devoting his talents to helping computer security."
Books,0,Sterling Book of Indian Classical Dances 
Electronics,2,SeCro USB 3.0 Super Speed Multi Function Card Reader (Black)
Books,0,"Mattel Pictionary Card Game Style Name:Pictionary   Pictionary card game: pictionary meets charades in the craziest card game ever, with no drawing required. Race to act out clues for your team using nothing but the simple images on each picture card-combine them, build scenes with them or use them as props. The first team to guess the correct answer in head-to-head play wins a point and the first team to score five points wins the game. For 2 teams. Ages 8 and older."
Household,3,Sehaz Artworks Home-Side-Shelf-WT-KeyHolder Wooden Key Holder (7 Hooks) Sehaz Artworks Home Side Shelf with Wooden Key Holder. It has 7 hooks and is in brown colour.
Clothing & Accessories,1,United Colors of Benetton Boys' Regular Fit Shirt UCB boys shirt regular fit pattern quilted sleeves long sleeve neck/collars regular collar small box printed shirt composition 100%cotton
Clothing & Accessories,1,"Bonjour Girl's Poly Cotton Knee High Socks(White, BRO4002-02-PO3-WHITE) - 3 Pairs Bonjour brings Multicolour Knee High Girl's socks. The socks are crafted using finest cotton to please your skin with secure stable fit from toe to knee. They protect and keep your feet and leg clean and safe. You can pair up these socks with shorts, skirts to compliment your look. These multipurpose socks are for school, office and party as it pairs up well with many dresses."
Household,3,TrustBasket Oval Planter Set of 2 Ivory color 12*7 inches
Clothing & Accessories,1,Cherokee by Unlimited Boys' Striped Regular Fit T-Shirt Cherokee apparel junior t shirt. It is made of 100% cotton pique fabric with stripes pattern.
Household,3,"@home by Nilkamal Edward 3 Door Wardrobe (Melamine Finish, Walnut) Who doesn’t need a wardrobe that is both storage-efficient and stylish? Nilkamal’s Edward wardrobe belongs to that category of modern furnishing which is equally trendy and effective. The product comes with two doors parting in the middle and provided with a safe locking system. Inside it has a big enough hanging space with a rod in the top half of the wardrobe."
Books,0,Guide to Indian Railways (RRB) RPF/RPSF Constable & Sub-Inspector Exam 2018 
Books,0,Republic (Enriched Classics) 
Books,0,"Society Tea Premium Green Tea, 250g Dubbed 'nature's all in one solution', green tea is packed to the hilt with flavonoids, antioxidants and other helpful properties. A couple of cups on a daily basis can help fight most ailments and keep you in the pink of health. Society Premium green tea represents the best quality and value in this space."
